"name","address","longitude","latitude","bike_stands","available_bike_stands","available_bikes"
"22007 - CHARCOT (NEUILLY)","35-37 BOULEVARD DU COMMANDANT CHARCOT - 92200 NEUILLY SUR SEINE",2.25569933163,48.8753602839,36,26,10
"13006 - SAINT MARCEL JEANNE D'ARC","02 RUE DUMERIL - 75013 PARIS",2.35710844956,48.8381516081,41,0,41
"21305 - MADAULE (ISSY LES MOULINEAUX)","PLACE MADAULE - 92130 ISSY LES MOULINEAUX",2.26064598549,48.8241259046,25,8,17
"06017 - SENAT CONDE","34 RUE CONDE - 75006 PARIS",2.33784843718,48.8495800022,34,0,34
"13044 - PLACE JEANNE D'ARC","20 PLACE JEANNE D'ARC - 75013 PARIS",2.36912681572,48.8295757268,36,31,4
"04005 - SULLY MORLAND","2 QUAI DES CELESTINS - 75004 PARIS",2.36243021298,48.8512714821,15,5,9
"12001 - BASTILLE","48 BOULEVARD DE LA BASTILLE - 75012 PARIS",2.36925048358,48.8513111874,64,1,62
"16035 - HIPPODROME D AUTEUIL","ALLEE DES FORTIFICATIONS - 75016 PARIS",2.25765156147,48.848892821,66,49,17
"10018 - ALBAN SATRAGNE","110-112 RUE FAUBOURG SAINT DENIS - 75010 PARIS",2.35609401864,48.8753849056,30,3,27
"20007 - BUZENVAL","52 RUE BUZENVAL - 75020 PARIS",2.40151359731,48.851617205,50,43,7
"16004 - BOULEVARD LANNES","FACE 2 BOULEVARD LANNES - 75016 PARIS",2.27487529834,48.870753284,70,48,18
"18102 - RUE DE LA CHAPELLE","69 BIS RUE DE LA CHAPELLE - 75018 PARIS",2.35884552523,48.8964828319,33,25,4
"05028 - CENSIER BUFFON","6 RUE CENSIER - 75005 PARIS",2.35543071424,48.841080022,55,20,33
"16001 - AVENUE DES PORTUGAIS","2 AVENUE DES PORTUGAIS - 75016 PARIS",2.29369213365,48.8712137122,26,18,5
"05012 - ULM - LHOMOND","20 RUE DE L'ESTRAPADE - 75005 PARIS",2.34541268121,48.845143494,15,12,3
"16009 - SAINT DIDIER","32 RUE SAINT DIDIER - 75016 PARIS",2.2857459443,48.8664391603,16,14,2
"01024 - LOUVRE COQ HERON","20 RUE COQUILLIERE - 75001 PARIS",2.34270756198,48.863772832,20,2,18
"14021 - PLACE DE LA PORTE DE CHATILLON","BOULEVARD BRUNE PORTE DE CHATILLON - 75014 PARIS",2.31844743105,48.8244897025,59,58,1
"01014 - RIVOLI MUSEE DU LOUVRE","5 RUE DE L'ECHELLE - 75001 PARIS",2.33405760805,48.8636722554,25,16,9
